variable,group,value
2023-04-13,43014,0.0
2023-04-20,43014,0.0
2023-04-27,43014,0.0
2023-05-04,43014,0.0
2023-05-11,43014,0.0
2023-05-18,43014,0.0
2023-05-25,43014,0.0
2021-09-26,43015,272.0
2021-10-03,43015,266.0
2021-10-17,43015,153.0
2021-10-24,43015,156.0
2021-10-31,43015,171.0
2021-11-07,43015,232.0
2021-11-14,43015,288.0
2021-11-17,43015,288.0
2021-11-28,43015,284.0
2021-12-01,43015,295.0
2021-12-05,43015,358.0
2021-12-12,43015,466.0
2021-12-19,43015,495.0
2021-12-26,43015,482.0
2022-01-02,43015,828.0
2022-01-09,43015,0.0
2022-01-16,43015,0.0
2022-01-23,43015,0.0
2022-01-30,43015,0.0
2022-02-06,43015,540.0
2022-02-13,43015,278.0
2022-02-20,43015,178.0
2022-02-27,43015,90.0
2022-03-06,43015,49.0
2022-03-13,43015,25.0
2022-03-24,43015,29.0
2022-03-31,43015,37.0
2022-04-07,43015,50.0
2022-04-21,43015,87.0
2022-04-28,43015,114.0
2022-05-05,43015,117.0
2022-05-12,43015,181.0
2022-05-19,43015,217.0
2022-05-26,43015,176.0
2022-06-02,43015,151.0
2022-06-09,43015,148.0
2022-06-23,43015,153.0
2022-06-30,43015,153.0
2022-07-07,43015,163.0
2022-07-14,43015,184.0
2022-07-21,43015,206.0
2022-07-28,43015,197.0
2022-08-04,43015,174.0
2022-08-11,43015,171.0
2022-08-18,43015,153.0
2022-08-25,43015,155.0
2022-09-01,43015,173.0
2022-09-08,43015,147.0
2022-09-15,43015,135.0
2022-09-22,43015,113.0
2022-09-29,43015,87.0
2022-10-06,43015,70.0
2022-10-13,43015,57.0
2022-10-20,43015,67.0
2022-10-27,43015,75.0
2022-11-03,43015,81.0
2022-11-10,43015,79.0
2022-11-17,43015,45.0
2022-11-23,43015,63.0
2022-12-01,43015,85.0
2022-12-08,43015,112.0
2022-12-15,43015,147.0
2022-12-22,43015,147.0
2022-12-29,43015,136.0
2023-02-23,43015,82.0
2023-03-02,43015,65.0
2023-03-09,43015,75.0
2023-03-16,43015,73.0
2023-03-23,43015,89.0
2023-03-30,43015,109.0
2023-04-06,43015,109.0
2023-04-13,43015,109.0
2023-04-20,43015,35.0
2023-04-27,43015,22.0
2023-05-04,43015,17.0
2023-05-11,43015,17.0
2023-05-18,43015,17.0
2023-05-25,43015,17.0
2021-09-26,43016,149.0
2021-10-03,43016,136.0
2021-10-17,43016,124.0
2021-10-24,43016,107.0
2021-10-31,43016,96.0
2021-11-07,43016,85.0
2021-11-14,43016,117.0
2021-11-17,43016,141.0
2021-11-28,43016,135.0
2021-12-01,43016,136.0
